('item37344', 740, 55911.34, 884198.25, 1395051.22)
('item45679', 901, 1463175.6, 1570822.19, 2039763.83)
('item16487', 321, 109479.64, 207568.69, 1348477.93)
('item54605', 1069, 1644452.25, 345814.52, 1803628.76)
('item34608', 684, 1973961.67, 612559.29, 1078708.87)
('item48512', 951, 1925613.97, 850822.82, 1808563.99)
('item25688', 505, 759488.33, 252777.44, 559605.0)
('item19998', 392, 748328.42, 11192.7, 173545.78)
('item21016', 410, 1524925.97, 15869.67, 1730987.51)
('item63636', 1251, 980135.74, 184359.49, 1663510.95)
('item25703', 505, 744690.07, 511007.85, 1824454.27)
('item34448', 680, 54273.45, 177032.34, 1187026.81)
('item20010', 392, 1873838.29, 11145.74, 1408124.81)
('item37923', 748, 2004201.66, 1454002.67, 1712937.74)
('item11238', 223, 1731566.89, 5391.13, 955370.32)
('item63616', 1251, 1346557.87, 703755.38, 1614025.92)
('item25696', 505, 895545.1, 313175.29, 1905142.94)
('item66279', 1298, 1150145.4, 6823.79, 767109.22)
('item37925', 748, 810225.82, 754655.32, 1682670.47)
('item53071', 1044, 997937.46, 814325.52, 959800.79)
('item14868', 285, 1988706.84, 1077781.33, 2034959.58)
('item45612', 901, 162747.02, 227245.5, 1683355.37)
('item29602', 580, 1025440.45, 783152.8, 1923181.5)
('item17023', 332, 1976224.0, 474891.17, 1392939.39)
('item40426', 802, 1842176.87, 370649.84, 1370339.06)
('item998', 24, 2032687.51, 457673.1, 1398285.82)
('item22282', 432, 928312.47, 819245.03, 1683682.14)
('item61357', 1210, 768481.27, 788319.78, 1526279.04)
('item42811', 847, 160830.94, 953218.09, 1598585.13)
('item11210', 223, 1904865.11, 420739.1, 1565510.07)
('item34462', 680, 35674.74, 500207.84, 1182868.94)
('item54599', 1069, 138202.27, 1158444.87, 1348550.75)
('item31861', 628, 335929.8, 835087.16, 1929730.14)
('item57032', 1120, 775668.44, 1134407.51, 1371789.04)
('item11212', 223, 386612.11, 892766.19, 1126510.54)
('item65806', 1291, 1545864.79, 644464.15, 1571387.6)
('item46452', 915, 997803.89, 425300.83, 576920.99)
('item10306', 205, 1411632.79, 274391.14, 1181457.91)
('item60683', 1197, 1876563.11, 22187.0, 1861534.31)
('item5466', 113, 327082.63, 7801.86, 2020705.53)
('item48494', 951, 1391545.26, 411478.32, 1048559.13)
('item62850', 1236, 539587.65, 457303.53, 1607164.57)
('item31454', 617, 1962517.95, 29243.97, 1092855.08)
('item22260', 432, 1914944.95, 402360.43, 1531974.98)
('item50801', 997, 1322349.32, 1303585.8, 1672469.5)
('item11250', 223, 1258277.1, 499624.71, 1326482.46)
('item17008', 332, 1787808.47, 370351.06, 1861810.01)
('item48515', 951, 1008644.81, 140356.65, 706596.3)
('item29616', 580, 30035.59, 27811.63, 1045035.66)
('item38869', 769, 689983.75, 451066.69, 1448636.99)
('item46440', 915, 161366.46, 37295.42, 1852991.84)
('item31890', 628, 867972.39, 139842.96, 792917.01)
('item54615', 1069, 403006.89, 11751.64, 432412.31)
