('d{w', 93, 463.9, 883.28, 1328.35)
('fXo', 237, 980.42, 251.89, 1060.03)
('d4[', 141, 202.26, 755.32, 1655.34)
('aZY', 281, 121.31, 335.2, 715.03)
('f(_', 272, 42.91, 197.62, 328.89)
('bio', 237, 177.11, 594.07, 1363.55)
('m(N', 134, 712.08, 411.16, 640.88)
('e[z', 93, 841.41, 31.51, 1016.61)
('na!', 234, 973.23, 73.51, 527.44)
('af[', 141, 119.34, 208.12, 705.67)
('j!>', 192, 478.2, 916.58, 1698.17)
('c8Y', 40, 793.13, 472.61, 1070.22)
('emP', 281, 692.68, 814.18, 1736.75)
('hLP', 134, 559.15, 1.71, 114.67)
('ieZ', 333, 478.19, 532.23, 955.74)
('fRy', 237, 479.88, 719.78, 1330.38)
('nm_', 234, 861.66, 37.02, 536.18)
('is@', 59, 907.19, 833.26, 1035.61)
('f[7', 59, 484.68, 864.96, 932.52)
('iGY', 281, 342.09, 978.4, 987.22)
('cY6', 40, 557.87, 728.38, 1276.68)
('lJ`', 237, 250.46, 684.63, 1235.41)
('fnH', 192, 513.84, 559.67, 1161.75)
('e57', 333, 719.55, 995.14, 1056.4)
('m_L', 192, 156.91, 699.07, 1091.4)
('lDJ', 234, 939.78, 301.46, 967.29)
('h*#', 141, 69.49, 139.83, 623.5)
('eh+', 141, 807.62, 865.13, 1388.21)
('i=Q', 281, 784.11, 385.68, 875.97)
('c!g', 59, 668.1, 789.38, 1321.64)
('gzY', 234, 585.31, 339.95, 1308.9)
('i>P', 234, 313.62, 771.64, 1031.56)
('in9', 281, 603.69, 491.54, 799.07)
('k3Z', 192, 752.62, 448.76, 959.41)
('a]}', 93, 566.85, 409.58, 1121.83)
('k_e', 272, 655.97, 30.66, 302.16)
('kA,', 272, 511.18, 969.8, 1316.23)
('a)`', 59, 812.72, 586.68, 958.46)
('d@~', 192, 296.65, 281.2, 365.71)
('d\\1', 40, 51.76, 653.31, 1453.61)
('i8H', 40, 243.38, 472.68, 617.3)
('fL?', 281, 88.66, 876.78, 1225.82)
("j^'", 272, 971.2, 76.73, 93.36)
('eI|', 333, 892.29, 95.09, 858.64)
('hm6', 272, 705.8, 287.17, 647.06)
('kql', 281, 103.97, 783.06, 1285.94)
('is7', 333, 89.17, 538.84, 545.39)
('jq{', 59, 221.93, 878.49, 1654.36)
('fO!', 192, 659.32, 92.71, 480.86)
('jy)', 141, 915.28, 458.98, 528.91)
('hcY', 59, 288.55, 93.86, 995.49)
('jFu', 40, 554.5, 677.77, 828.42)
('j/y', 237, 388.47, 262.17, 758.52)
('k9k', 272, 163.08, 286.91, 627.09)
('cEs', 281, 624.89, 400.58, 741.25)
('hbR', 192, 704.25, 554.96, 1271.89)
('m98', 333, 805.33, 894.5, 1822.72)
('cj*', 237, 577.26, 831.14, 1714.4)
('bgW', 141, 440.71, 844.55, 1500.87)
('f%O', 281, 920.65, 17.67, 277.73)
('c&D', 333, 970.69, 245.52, 443.23)
('cid', 93, 814.32, 550.69, 1019.5)
('lxH', 93, 371.94, 52.64, 613.8)
('d59', 59, 297.61, 856.31, 1462.62)
('jtz', 192, 543.82, 900.1, 1442.39)
('a}@', 40, 199.89, 223.84, 1006.83)
('aRy', 141, 14.65, 942.52, 1165.0)
('d7d', 234, 265.33, 519.53, 981.02)
('d3%', 192, 631.26, 191.69, 475.53)
('dCz', 192, 263.58, 911.0, 1006.96)
('a|U', 234, 625.82, 568.02, 1063.44)
('b-<', 272, 10.65, 630.74, 1055.13)
('l4h', 59, 968.7, 394.82, 1216.21)
('lK^', 59, 19.47, 314.4, 645.09)
('fP}', 59, 669.3, 516.11, 765.14)
('bn+', 281, 689.57, 850.01, 1299.03)
('gv=', 272, 266.75, 991.35, 1919.15)
('bqk', 234, 986.22, 449.84, 1393.35)
('f7=', 333, 570.43, 150.92, 571.52)
('k@I', 59, 195.28, 749.41, 1686.53)
('ddY', 40, 357.49, 128.73, 714.87)
('eOA', 141, 409.78, 450.61, 1188.21)
('fd)', 40, 875.78, 326.98, 1207.43)
('ehU', 272, 963.26, 490.54, 1278.68)
('bSD', 234, 287.88, 304.56, 428.63)
('hA_', 237, 967.76, 689.94, 1046.33)
('mPe', 192, 307.28, 944.38, 1594.52)
('b/h', 134, 181.9, 67.21, 239.63)
('f}#', 40, 281.47, 107.85, 142.19)
('jPB', 272, 148.5, 801.18, 921.57)
('d:8', 281, 86.68, 16.85, 418.89)
('fV<', 134, 311.83, 838.36, 1581.76)
('k=`', 141, 480.47, 892.68, 1753.47)
('lY0', 93, 454.28, 889.75, 1339.23)
('hNI', 59, 536.99, 239.63, 656.33)
('hYZ', 141, 78.87, 844.49, 1802.17)
('dfV', 333, 460.36, 597.57, 1532.81)
('b4K', 59, 604.42, 877.85, 1114.98)
('j\\L', 141, 475.0, 532.36, 691.08)
('j*n', 134, 380.33, 887.52, 1156.28)
('g4]', 237, 503.95, 453.14, 1159.75)
('hgh', 281, 479.16, 703.69, 1293.25)
('jbc', 281, 974.3, 865.95, 1287.02)
('gh"', 237, 408.7, 795.62, 1370.16)
('faU', 237, 24.43, 710.79, 1377.6)
('gwq', 234, 714.42, 33.69, 768.41)
