('BPKY', 646, 2.08, 15.41, 603.53)
('AXXX', 956, 22.27, 239.16, 591.31)
('AMSA', 416, 12.51, 168.1, 762.89)
('DKEA', 322, 21.64, 539.78, 716.38)
('CBJS', 328, 28.71, 21.94, 553.21)
('BJRZ', 646, 2.38, 29.98, 232.35)
('AAAR', 713, 15.21, 135.7, 730.82)
('BRMJ', 646, 4.44, 417.67, 911.6)
('AACT', 636, 11.89, 968.13, 985.03)
('AHHJ', 840, 26.21, 129.41, 464.14)
('DKCO', 591, 23.25, 311.5, 865.22)
('CXBH', 420, 19.08, 20.27, 387.76)
('BSMS', 381, 17.89, 613.25, 989.23)
('AQWP', 381, 12.97, 649.61, 948.09)
('AYNK', 821, 29.45, 331.84, 775.91)
('BARF', 929, 22.5, 625.23, 766.61)
('ASUN', 854, 29.19, 112.59, 422.78)
('BDVV', 713, 5.83, 797.62, 915.51)
('AGBS', 956, 18.34, 194.17, 866.74)
('DKFX', 821, 28.79, 271.5, 505.48)
('BULL', 929, 16.72, 160.51, 439.89)
('DAEI', 837, 22.14, 349.72, 883.13)
('CVPY', 322, 17.63, 535.55, 800.52)
('CSRL', 646, 13.81, 757.76, 862.71)
('CZFI', 328, 13.97, 106.01, 431.24)
('CGLY', 837, 29.53, 178.09, 967.36)
('BBAK', 791, 23.08, 38.42, 209.6)
('BJJO', 821, 28.45, 140.21, 845.71)
('ANOM', 181, 14.22, 273.36, 816.45)
('BMXU', 956, 16.26, 287.3, 818.12)
('BPLI', 135, 19.53, 311.38, 457.2)
('CWEX', 181, 29.82, 341.56, 950.24)
('CBJW', 322, 28.16, 597.26, 915.27)
('DALM', 63, 15.77, 164.72, 485.81)
('BUBN', 956, 16.25, 536.14, 882.35)
('BFCP', 322, 7.44, 477.26, 478.96)
('CBLE', 636, 17.91, 69.28, 660.81)
('CCLQ', 181, 3.87, 311.55, 763.5)
('BVYN', 328, 20.53, 495.7, 498.2)
('DGCL', 727, 4.61, 458.73, 912.23)
('BANQ', 416, 0.29, 5.78, 485.91)
('CFSR', 713, 21.79, 55.35, 884.45)
('ABIM', 689, 0.95, 229.04, 946.65)
('CSKY', 837, 8.69, 190.11, 358.64)
('DCVC', 13, 0.35, 927.32, 950.35)
('BEMH', 181, 9.89, 87.41, 624.52)
('DDXO', 956, 27.32, 673.62, 710.05)
('ABCC', 854, 18.96, 456.61, 891.88)
('CNGG', 821, 21.86, 604.46, 904.66)
('CNRK', 300, 22.41, 42.15, 900.56)
('AHSK', 854, 27.55, 685.59, 850.48)
('COZM', 929, 20.55, 410.21, 544.59)
('CRCU', 636, 8.42, 207.75, 345.09)
('DHBK', 854, 23.4, 313.32, 870.43)
('CVRV', 713, 12.74, 63.55, 220.76)
('AGOA', 420, 0.52, 34.23, 164.71)
