55000; 55000; 70828; 13445; 64145;
55001; 55001; 110441; 175652; 184273;
55002; 55002; 94790; 99180; 148642;
55003; 55003; 199157; 135591; 166675;
55004; 55004; 73661; 25742; 159216;
55005; 55005; 82173; 137562; 149679;
55006; 55006; 102097; 86185; 124178;
55007; 55007; 2908; 114774; 164999;
55008; 55008; 81690; 159380; 178693;
55009; 55009; 190767; 153707; 163192;
55010; 55010; 44618; 181044; 181427;
55011; 55011; 83017; 19173; 156183;
55012; 55012; 42602; 11145; 77413;
55013; 55013; 43989; 157257; 160996;
55014; 55014; 10016; 48320; 173881;
55015; 55015; 91195; 190028; 197658;
55016; 55016; 21716; 20826; 196346;
55017; 55017; 59543; 17386; 40272;
55018; 55018; 87843; 25927; 159136;
55019; 55019; 95975; 189578; 193068;
55020; 55020; 4785; 57990; 107386;
55021; 55021; 164609; 130725; 165351;
55022; 55022; 46484; 64452; 147145;
55023; 55023; 159502; 135288; 152301;
55024; 55024; 173108; 135326; 136790;
55025; 55025; 150443; 79014; 128213;
55026; 55026; 139190; 77165; 149196;
55027; 55027; 193799; 111095; 147355;
55028; 55028; 69276; 94404; 160844;
55029; 55029; 136616; 112236; 194146;
55030; 55030; 174104; 74477; 150572;
55031; 55031; 61300; 5162; 128374;
55032; 55032; 11326; 121694; 171397;
55033; 55033; 170203; 125060; 133462;
55034; 55034; 178871; 180913; 184537;
55035; 55035; 118583; 64459; 88720;
55036; 55036; 95484; 110223; 188539;
55037; 55037; 60848; 70005; 159969;
55038; 55038; 30968; 190937; 191816;
55039; 55039; 116080; 11773; 148710;
55040; 55040; 121701; 53773; 149063;
55041; 55041; 65429; 37437; 111572;
55042; 55042; 155053; 181338; 191731;
55043; 55043; 70742; 57078; 168927;
55044; 55044; 24794; 2178; 167772;
55045; 55045; 110936; 94847; 153326;
55046; 55046; 52231; 118351; 122827;
55047; 55047; 21926; 115913; 194517;
55048; 55048; 33581; 161473; 176795;
55049; 55049; 61245; 105023; 145728;
55050; 55050; 14802; 114017; 195493;
55051; 55051; 169288; 47534; 104363;
55052; 55052; 165067; 62946; 65310;
55053; 55053; 181406; 130464; 167425;
55054; 55054; 152529; 198425; 199314;
55055; 55055; 90977; 183574; 193618;
55056; 55056; 39833; 5955; 30885;
55057; 55057; 10513; 108174; 152532;
55058; 55058; 534; 111487; 131778;
55059; 55059; 121010; 95331; 197195;
55060; 55060; 160479; 193134; 198229;
55061; 55061; 53606; 34311; 127655;
55062; 55062; 132355; 22821; 43174;
55063; 55063; 48355; 191278; 195728;
55064; 55064; 135779; 58810; 98380;
55065; 55065; 42479; 4221; 102131;
55066; 55066; 127884; 114075; 148851;
55067; 55067; 48610; 184419; 189783;
55068; 55068; 54346; 190578; 192819;
55069; 55069; 160606; 30850; 161183;
55070; 55070; 192777; 89028; 194231;
55071; 55071; 186793; 58205; 74203;
55072; 55072; 85703; 182371; 188777;
55073; 55073; 7242; 138891; 194327;
55074; 55074; 171291; 32213; 95260;
55075; 55075; 130658; 27348; 128465;
55076; 55076; 180937; 178490; 188143;
55077; 55077; 8774; 79008; 93910;
55078; 55078; 191221; 107266; 129123;
55079; 55079; 136196; 67230; 76462;
55080; 55080; 150086; 85826; 169838;
55081; 55081; 154928; 198007; 199347;
55082; 55082; 172697; 175718; 193673;
55083; 55083; 42435; 197165; 198966;
55084; 55084; 173998; 3705; 188420;
55085; 55085; 170822; 75813; 134398;
55086; 55086; 195502; 43521; 178074;
55087; 55087; 5565; 118864; 144015;
55088; 55088; 169514; 102133; 190925;
55089; 55089; 179177; 2056; 185611;
55090; 55090; 18515; 180231; 181985;
55091; 55091; 24715; 133376; 173292;
55092; 55092; 176234; 54498; 98507;
55093; 55093; 77339; 54350; 155384;
55094; 55094; 116660; 88429; 95589;
55095; 55095; 170298; 70738; 76736;
55096; 55096; 129910; 96311; 119392;
55097; 55097; 46256; 179527; 184433;
55098; 55098; 177272; 95221; 134559;
55099; 55099; 6311; 129511; 131025;
55100; 55100; 144846; 197144; 197934;
55101; 55101; 148562; 133450; 186830;
55102; 55102; 159361; 16952; 42124;
55103; 55103; 102743; 85043; 98991;
55104; 55104; 141744; 124989; 133210;
55105; 55105; 121967; 91405; 104280;
55106; 55106; 65525; 20937; 179219;
55107; 55107; 80634; 192673; 194802;
55108; 55108; 163538; 30603; 82625;
55109; 55109; 54934; 15782; 60354;
55110; 55110; 170688; 20338; 196842;
55111; 55111; 139379; 60908; 87980;
55112; 55112; 107729; 94582; 128902;
55113; 55113; 11153; 77686; 81155;
55114; 55114; 45424; 93548; 181415;
55115; 55115; 189578; 91349; 134340;
55116; 55116; 134114; 191271; 192711;
55117; 55117; 74572; 105017; 129825;
55118; 55118; 23980; 131024; 164063;
55119; 55119; 102375; 176009; 184786;
55120; 55120; 147490; 51798; 195681;
55121; 55121; 178276; 165769; 192943;
55122; 55122; 82463; 156661; 157435;
55123; 55123; 36779; 199683; 199912;
55124; 55124; 25145; 141774; 179030;
55125; 55125; 143770; 149822; 166076;
55126; 55126; 147130; 2101; 176823;
55127; 55127; 101036; 59920; 101154;
55128; 55128; 31730; 53302; 108118;
55129; 55129; 71354; 147650; 169403;
55130; 55130; 129383; 142820; 169139;
55131; 55131; 146551; 180039; 185658;
55132; 55132; 20336; 39074; 165611;
55133; 55133; 126018; 29300; 40956;
